model,task,run,outcome,model_id,gate_exit,full_exit,regressed,num_turns,tool_calls_total,files_read,files_edited,input_tokens,output_tokens,cache_read,cache_creation,duration_ms,num_retries,tools
claude-fable-5,task_01,1,pass,claude-fable-5,0,0,0,7,6,1,1,2039,1341,127385,7999,50005,0,Bash=4;Edit=1;Read=1
claude-fable-5,task_01,2,pass,claude-fable-5,0,0,0,7,6,1,1,2041,1772,157388,5636,59844,0,Bash=4;Edit=1;Read=1
claude-fable-5,task_01,3,pass,claude-fable-5,0,0,0,6,5,1,1,10,1267,111937,2492,44928,0,Bash=3;Edit=1;Read=1
claude-fable-5,task_01,4,pass,claude-fable-5,0,0,0,6,5,1,1,12,1385,135386,2779,48436,0,Bash=3;Edit=1;Read=1
claude-fable-5,task_01,5,pass,claude-fable-5,0,0,0,7,6,1,1,10,1273,112752,3011,44951,0,Bash=4;Edit=1;Read=1
claude-fable-5,task_02,1,pass,claude-fable-5,0,0,0,27,26,3,1,2460,9614,893625,34367,206172,0,Bash=11;Edit=6;Read=9
claude-fable-5,task_02,2,pass,claude-fable-5,0,0,0,25,24,3,2,2325,9395,743204,26344,201697,0,Bash=9;Edit=7;Read=8
claude-fable-5,task_02,3,pass,claude-fable-5,0,0,0,17,16,1,1,153,7721,388285,20587,134944,0,Bash=7;Edit=3;Read=6
claude-fable-5,task_02,4,pass,claude-fable-5,0,0,0,21,20,1,1,286,7805,450213,18765,148074,0,Bash=9;Edit=4;Read=7
claude-fable-5,task_02,5,pass,claude-fable-5,0,0,0,30,29,2,1,435,9816,838922,22507,200418,0,Bash=13;Edit=6;Read=10
claude-fable-5,task_04,1,pass,claude-fable-5,0,0,0,13,12,2,1,2180,5726,385447,27319,112090,0,Bash=5;Edit=2;Read=5
claude-fable-5,task_04,2,pass,claude-fable-5,0,0,0,13,12,2,1,2178,5148,328920,19417,105014,0,Bash=6;Edit=2;Read=4
claude-fable-5,task_04,3,pass,claude-fable-5,0,0,0,13,12,2,1,151,6008,336940,18001,125810,0,Bash=6;Edit=2;Read=4
claude-fable-5,task_04,4,pass,claude-fable-5,0,0,0,12,11,1,1,147,4515,255847,12398,94343,0,Bash=8;Edit=2;Read=1
claude-fable-5,task_04,5,pass,claude-fable-5,0,0,0,13,12,2,1,151,4357,316640,14498,109876,0,Bash=6;Edit=2;Read=4
claude-fable-5,task_05,1,manual,claude-fable-5,,,0,30,29,3,4,2466,16528,1034151,36211,334620,0,Bash=14;Edit=7;Read=8
claude-fable-5,task_05,2,manual,claude-fable-5,,,0,38,37,4,5,2609,18465,1408086,38363,389726,0,Bash=22;Edit=6;Read=9
claude-fable-5,task_05,3,manual,claude-fable-5,,,0,37,36,4,4,2607,20763,1341841,51946,446286,0,Bash=19;Edit=7;Read=8;ToolSearch=1;WebSearch=1
claude-fable-5,task_05,4,manual,claude-fable-5,,,0,33,32,5,5,2601,18012,1208764,37690,363638,0,Bash=15;Edit=5;Read=12
claude-fable-5,task_05,5,manual,claude-fable-5,,,0,34,33,4,5,2599,14095,995423,27395,310400,0,Bash=19;Edit=6;Read=8
claude-opus-4-8,task_01,1,pass,claude-opus-4-8,0,0,0,6,5,1,1,2037,1205,99272,6853,32679,0,Bash=3;Edit=1;Read=1
claude-opus-4-8,task_01,2,pass,claude-opus-4-8,0,0,0,8,7,1,1,2041,1628,147250,5685,38242,0,Bash=4;Edit=1;Read=2
claude-opus-4-8,task_01,3,pass,claude-opus-4-8,0,0,0,7,6,2,1,10,1508,106486,3265,33257,0,Bash=3;Edit=1;Read=2
claude-opus-4-8,task_01,4,pass,claude-opus-4-8,0,0,0,7,6,2,1,10,1349,105779,2766,31525,0,Bash=3;Edit=1;Read=2
claude-opus-4-8,task_01,5,pass,claude-opus-4-8,0,0,0,8,7,1,1,14,1385,149553,3096,34396,0,Bash=4;Edit=1;Read=2
claude-opus-4-8,task_02,1,pass,claude-opus-4-8,0,0,0,27,26,1,2,2551,12185,971589,33618,241727,0,Bash=9;Edit=9;Read=8
claude-opus-4-8,task_02,2,pass,claude-opus-4-8,0,0,0,26,25,2,1,2448,10676,624107,30708,154765,0,Bash=8;Edit=8;Read=9
claude-opus-4-8,task_02,3,pass,claude-opus-4-8,0,0,0,33,32,1,2,2726,11917,1004407,29186,194359,0,Bash=10;Edit=11;Read=11
claude-opus-4-8,task_02,4,pass,claude-opus-4-8,0,0,0,37,36,2,3,719,13642,1511512,31799,231601,0,Bash=15;Edit=10;Read=11
claude-opus-4-8,task_02,5,pass,claude-opus-4-8,0,0,0,22,21,1,1,431,9714,787595,26150,151883,0,Bash=6;Edit=6;Read=9
claude-opus-4-8,task_04,1,pass,claude-opus-4-8,0,0,0,11,10,1,1,2176,4250,249205,15278,76180,0,Bash=5;Edit=2;Read=3
claude-opus-4-8,task_04,2,pass,claude-opus-4-8,0,0,0,10,9,1,1,2259,4878,220301,13357,80778,0,Bash=5;Edit=1;Read=3
